"","report","category","category_value","n"
"169","Farm Business Income Statement","Farm Resource Region","Fruitful Rim",93
"170","Farm Business Income Statement","Farm Resource Region","Heartland",93
"171","Farm Business Income Statement","Farm Resource Region","Mississippi Portal",93
"172","Farm Business Income Statement","Farm Resource Region","Northern Crescent",93
"173","Farm Business Income Statement","Farm Resource Region","Northern Great Plains",93
"174","Farm Business Income Statement","Farm Resource Region","Prairie Gateway",93
"175","Farm Business Income Statement","Farm Resource Region","Southern Seaboard",93
"176","Farm Business Income Statement","Farm Typology","Farming occupation/lower-sales farms (1996 through 2010)",744
"177","Farm Business Income Statement","Farm Typology","Farming occupation/lower-sales farms (2011 to present)",465
"178","Farm Business Income Statement","Farm Typology","Farming occupation/moderate-sales farms (1996 through 2010)",744
"179","Farm Business Income Statement","Farm Typology","Farming occupation/moderate-sales farms (2011 to present)",465
"180","Farm Business Income Statement","Farm Typology","Large farms  (1996 through 2010)",744
"181","Farm Business Income Statement","Farm Typology","Large farms (2011 to present)",465
"182","Farm Business Income Statement","Farm Typology","Midsize farms (2011 to present)",465
"183","Farm Business Income Statement","Farm Typology","Nonfamily farms  (1996 through 2010)",496
"184","Farm Business Income Statement","Farm Typology","Nonfamily farms (2011 to present)",310
"185","Farm Business Income Statement","Farm Typology","Off-farm occupation farms (2011 to present)",310
"186","Farm Business Income Statement","Farm Typology","Residential/lifestyle farms (1996 through 2010)",527
"187","Farm Business Income Statement","Farm Typology","Retirement farms (1996 through 2010)",527
"188","Farm Business Income Statement","Farm Typology","Retirement farms (2011 to present)",310
"189","Farm Business Income Statement","Farm Typology","Very large farms  (1996 through 2010)",744
"190","Farm Business Income Statement","Farm Typology","Very large farms (2011 to present)",465
"191","Farm Business Income Statement","NASS Region","Atlantic region",93
"192","Farm Business Income Statement","NASS Region","Midwest region",93
"193","Farm Business Income Statement","NASS Region","Plains region",93
"194","Farm Business Income Statement","NASS Region","South region",93
"195","Farm Business Income Statement","NASS Region","West region",93
"196","Farm Business Income Statement","Operator Age","34 years or younger",1209
"197","Farm Business Income Statement","Operator Age","35 to 44 years old",1209
"198","Farm Business Income Statement","Operator Age","45 to 54 years old",1209
"199","Farm Business Income Statement","Operator Age","55 to 64 years old",1209
"200","Farm Business Income Statement","Operator Age","65 years or older",1209
"201","Farm Business Income Statement","Production Specialty","All other livestock",1209
"202","Farm Business Income Statement","Production Specialty","Cattle",1209
"203","Farm Business Income Statement","Production Specialty","Corn",1209
"204","Farm Business Income Statement","Production Specialty","Dairy",1209
"205","Farm Business Income Statement","Production Specialty","General Cash Grains",1209
"206","Farm Business Income Statement","Production Specialty","Hogs",1178
"207","Farm Business Income Statement","Production Specialty","Other Field Crops",1209
"208","Farm Business Income Statement","Production Specialty","Poultry",1209
"209","Farm Business Income Statement","Production Specialty","Soybean",1023
"210","Farm Business Income Statement","Production Specialty","Specialty Crops (F,V,N)",1209
"211","Farm Business Income Statement","Production Specialty","Tobacco, Cotton, Peanuts",527
"212","Farm Business Income Statement","Production Specialty","Wheat",775
"213","Government Payments","All Farms","TOTAL",1368
"214","Government Payments","Collapsed Farm Typology","Commercial farms",1368
"215","Government Payments","Collapsed Farm Typology","Intermediate farms",1368
"216","Government Payments","Collapsed Farm Typology","Residence farms",912
"217","Government Payments","Economic Class","$1,000,000 or more",1368
"218","Government Payments","Economic Class","$100,000 to $249,999",1368
"219","Government Payments","Economic Class","$250,000 to $499,999",1368
"220","Government Payments","Economic Class","$500,000 to $999,999",1368
"221","Government Payments","Economic Class","Less than $100,000",1368
"222","Government Payments","Farm Resource Region","Basin and Range",190
"223","Government Payments","Farm Resource Region","Eastern Uplands",190
"224","Government Payments","Farm Resource Region","Fruitful Rim",190
"225","Government Payments","Farm Resource Region","Heartland",190
"226","Government Payments","Farm Resource Region","Mississippi Portal",190
"227","Government Payments","Farm Resource Region","Northern Crescent",190
"228","Government Payments","Farm Resource Region","Northern Great Plains",190
"229","Government Payments","Farm Resource Region","Prairie Gateway",190
"230","Government Payments","Farm Resource Region","Southern Seaboard",190
"231","Government Payments","Farm Typology","Farming occupation/lower-sales farms (1996 through 2010)",684
"232","Government Payments","Farm Typology","Farming occupation/lower-sales farms (2011 to present)",684
"233","Government Payments","Farm Typology","Farming occupation/moderate-sales farms (1996 through 2010)",684
"234","Government Payments","Farm Typology","Farming occupation/moderate-sales farms (2011 to present)",684
"235","Government Payments","Farm Typology","Large farms  (1996 through 2010)",684
"236","Government Payments","Farm Typology","Large farms (2011 to present)",684
"237","Government Payments","Farm Typology","Midsize farms (2011 to present)",684
"238","Government Payments","Farm Typology","Nonfamily farms  (1996 through 2010)",418
"239","Government Payments","Farm Typology","Nonfamily farms (2011 to present)",456
"240","Government Payments","Farm Typology","Off-farm occupation farms (2011 to present)",456
"241","Government Payments","Farm Typology","Residential/lifestyle farms (1996 through 2010)",456
"242","Government Payments","Farm Typology","Retirement farms (1996 through 2010)",456
"243","Government Payments","Farm Typology","Retirement farms (2011 to present)",456
"244","Government Payments","Farm Typology","Very large farms  (1996 through 2010)",684
"245","Government Payments","Farm Typology","Very large farms (2011 to present)",684
"246","Government Payments","NASS Region","Atlantic region",190
"247","Government Payments","NASS Region","Midwest region",190
"248","Government Payments","NASS Region","Plains region",190
"249","Government Payments","NASS Region","South region",190
"250","Government Payments","NASS Region","West region",190
"251","Government Payments","Operator Age","34 years or younger",1368
"252","Government Payments","Operator Age","35 to 44 years old",1368
"253","Government Payments","Operator Age","45 to 54 years old",1368
"254","Government Payments","Operator Age","55 to 64 years old",1368
"255","Government Payments","Operator Age","65 years or older",1368
"256","Government Payments","Production Specialty","All other livestock",1368
"257","Government Payments","Production Specialty","Cattle",1368
"258","Government Payments","Production Specialty","Corn",1254
"259","Government Payments","Production Specialty","Dairy",1368
"260","Government Payments","Production Specialty","General Cash Grains",1330
"261","Government Payments","Production Specialty","Hogs",1292
"262","Government Payments","Production Specialty","Other Field Crops",1368
"263","Government Payments","Production Specialty","Poultry",1368
"264","Government Payments","Production Specialty","Soybean",1026
"265","Government Payments","Production Specialty","Specialty Crops (F,V,N)",1368
"266","Government Payments","Production Specialty","Tobacco, Cotton, Peanuts",1216
"267","Government Payments","Production Specialty","Wheat",988
"268","Operator Household Balance Sheet","All Farms","TOTAL",100
"269","Operator Household Balance Sheet","Collapsed Farm Typology","Commercial farms",100
"270","Operator Household Balance Sheet","Collapsed Farm Typology","Intermediate farms",100
"271","Operator Household Balance Sheet","Collapsed Farm Typology","Residence farms",100
"272","Operator Household Balance Sheet","Economic Class","$1,000,000 or more",100
"273","Operator Household Balance Sheet","Economic Class","$100,000 to $249,999",100
"274","Operator Household Balance Sheet","Economic Class","$250,000 to $499,999",100
"275","Operator Household Balance Sheet","Economic Class","$500,000 to $999,999",100
"276","Operator Household Balance Sheet","Economic Class","Less than $100,000",100
"277","Operator Household Balance Sheet","Farm Typology","Farming occupation/lower-sales farms (1996 through 2010)",80
"278","Operator Household Balance Sheet","Farm Typology","Farming occupation/lower-sales farms (2011 to present)",20
"279","Operator Household Balance Sheet","Farm Typology","Farming occupation/moderate-sales farms (1996 through 2010)",80
"280","Operator Household Balance Sheet","Farm Typology","Farming occupation/moderate-sales farms (2011 to present)",20
"281","Operator Household Balance Sheet","Farm Typology","Large farms  (1996 through 2010)",80
"282","Operator Household Balance Sheet","Farm Typology","Large farms (2011 to present)",20
"283","Operator Household Balance Sheet","Farm Typology","Midsize farms (2011 to present)",20
"284","Operator Household Balance Sheet","Farm Typology","Off-farm occupation farms (2011 to present)",20
"285","Operator Household Balance Sheet","Farm Typology","Residential/lifestyle farms (1996 through 2010)",80
"286","Operator Household Balance Sheet","Farm Typology","Retirement farms (1996 through 2010)",80
"287","Operator Household Balance Sheet","Farm Typology","Retirement farms (2011 to present)",20
"288","Operator Household Balance Sheet","Farm Typology","Very large farms  (1996 through 2010)",80
"289","Operator Household Balance Sheet","Farm Typology","Very large farms (2011 to present)",20
"290","Operator Household Balance Sheet","Operator Age","34 years or younger",100
"291","Operator Household Balance Sheet","Operator Age","35 to 44 years old",100
"292","Operator Household Balance Sheet","Operator Age","45 to 54 years old",100
"293","Operator Household Balance Sheet","Operator Age","55 to 64 years old",100
"294","Operator Household Balance Sheet","Operator Age","65 years or older",100
"295","Operator Household Balance Sheet","Production Specialty","All other livestock",100
"296","Operator Household Balance Sheet","Production Specialty","Cattle",100
"297","Operator Household Balance Sheet","Production Specialty","Corn",100
"298","Operator Household Balance Sheet","Production Specialty","Dairy",100
"299","Operator Household Balance Sheet","Production Specialty","General Cash Grains",90
"300","Operator Household Balance Sheet","Production Specialty","Hogs",90
"301","Operator Household Balance Sheet","Production Specialty","Other Field Crops",100
"302","Operator Household Balance Sheet","Production Specialty","Poultry",100
"303","Operator Household Balance Sheet","Production Specialty","Soybean",80
"304","Operator Household Balance Sheet","Production Specialty","Specialty Crops (F,V,N)",100
"305","Operator Household Balance Sheet","Production Specialty","Tobacco, Cotton, Peanuts",70
"306","Operator Household Balance Sheet","Production Specialty","Wheat",80
"307","Operator Household Income","All Farms","TOTAL",90
"308","Operator Household Income","Collapsed Farm Typology","Commercial farms",90
"309","Operator Household Income","Collapsed Farm Typology","Intermediate farms",90
"310","Operator Household Income","Collapsed Farm Typology","Residence farms",90
"311","Operator Household Income","Economic Class","$1,000,000 or more",90
"312","Operator Household Income","Economic Class","$100,000 to $249,999",90
"313","Operator Household Income","Economic Class","$250,000 to $499,999",90
"314","Operator Household Income","Economic Class","$500,000 to $999,999",90
"315","Operator Household Income","Economic Class","Less than $100,000",90
"316","Operator Household Income","Farm Resource Region","Basin and Range",6
"317","Operator Household Income","Farm Resource Region","Eastern Uplands",6
"318","Operator Household Income","Farm Resource Region","Fruitful Rim",6
"319","Operator Household Income","Farm Resource Region","Heartland",6
"320","Operator Household Income","Farm Resource Region","Mississippi Portal",6
"321","Operator Household Income","Farm Resource Region","Northern Crescent",6
"322","Operator Household Income","Farm Resource Region","Northern Great Plains",6
"323","Operator Household Income","Farm Resource Region","Prairie Gateway",6
"324","Operator Household Income","Farm Resource Region","Southern Seaboard",6
"325","Operator Household Income","Farm Typology","Farming occupation/lower-sales farms (1996 through 2010)",48
"326","Operator Household Income","Farm Typology","Farming occupation/lower-sales farms (2011 to present)",42
"327","Operator Household Income","Farm Typology","Farming occupation/moderate-sales farms (1996 through 2010)",48
"328","Operator Household Income","Farm Typology","Farming occupation/moderate-sales farms (2011 to present)",42
"329","Operator Household Income","Farm Typology","Large farms  (1996 through 2010)",48
"330","Operator Household Income","Farm Typology","Large farms (2011 to present)",42
"331","Operator Household Income","Farm Typology","Midsize farms (2011 to present)",42
"332","Operator Household Income","Farm Typology","Off-farm occupation farms (2011 to present)",42
"333","Operator Household Income","Farm Typology","Residential/lifestyle farms (1996 through 2010)",48
"334","Operator Household Income","Farm Typology","Retirement farms (1996 through 2010)",48
"335","Operator Household Income","Farm Typology","Retirement farms (2011 to present)",42
"336","Operator Household Income","Farm Typology","Very large farms  (1996 through 2010)",48
"337","Operator Household Income","Farm Typology","Very large farms (2011 to present)",42
"338","Operator Household Income","NASS Region","Atlantic region",6
"339","Operator Household Income","NASS Region","Midwest region",6
"340","Operator Household Income","NASS Region","Plains region",6
"341","Operator Household Income","NASS Region","South region",6
"342","Operator Household Income","NASS Region","West region",6
"343","Operator Household Income","Operator Age","34 years or younger",90
"344","Operator Household Income","Operator Age","35 to 44 years old",90
"345","Operator Household Income","Operator Age","45 to 54 years old",90
"346","Operator Household Income","Operator Age","55 to 64 years old",90
"347","Operator Household Income","Operator Age","65 years or older",90
"348","Operator Household Income","Production Specialty","All other livestock",90
"349","Operator Household Income","Production Specialty","Cattle",90
"350","Operator Household Income","Production Specialty","Corn",90
"351","Operator Household Income","Production Specialty","Dairy",90
"352","Operator Household Income","Production Specialty","General Cash Grains",90
"353","Operator Household Income","Production Specialty","Hogs",84
"354","Operator Household Income","Production Specialty","Other Field Crops",90
"355","Operator Household Income","Production Specialty","Poultry",84
"356","Operator Household Income","Production Specialty","Soybean",78
"357","Operator Household Income","Production Specialty","Specialty Crops (F,V,N)",90
"358","Operator Household Income","Production Specialty","Tobacco, Cotton, Peanuts",54
"359","Operator Household Income","Production Specialty","Wheat",72
"360","Structural Characteristics","All Farms","TOTAL",702
"361","Structural Characteristics","Collapsed Farm Typology","Commercial farms",702
"362","Structural Characteristics","Collapsed Farm Typology","Intermediate farms",702
"363","Structural Characteristics","Collapsed Farm Typology","Residence farms",486
"364","Structural Characteristics","Economic Class","$1,000,000 or more",702
"365","Structural Characteristics","Economic Class","$100,000 to $249,999",702
"366","Structural Characteristics","Economic Class","$250,000 to $499,999",702
"367","Structural Characteristics","Economic Class","$500,000 to $999,999",702
"368","Structural Characteristics","Economic Class","Less than $100,000",702
"369","Structural Characteristics","Farm Resource Region","Basin and Range",90
"370","Structural Characteristics","Farm Resource Region","Eastern Uplands",90
"371","Structural Characteristics","Farm Resource Region","Fruitful Rim",90
"372","Structural Characteristics","Farm Resource Region","Heartland",90
"373","Structural Characteristics","Farm Resource Region","Mississippi Portal",90
"374","Structural Characteristics","Farm Resource Region","Northern Crescent",90
"375","Structural Characteristics","Farm Resource Region","Northern Great Plains",90
"376","Structural Characteristics","Farm Resource Region","Prairie Gateway",90
"377","Structural Characteristics","Farm Resource Region","Southern Seaboard",90
"378","Structural Characteristics","Farm Typology","Farming occupation/lower-sales farms (1996 through 2010)",324
"379","Structural Characteristics","Farm Typology","Farming occupation/lower-sales farms (2011 to present)",378
"380","Structural Characteristics","Farm Typology","Farming occupation/moderate-sales farms (1996 through 2010)",324
"381","Structural Characteristics","Farm Typology","Farming occupation/moderate-sales farms (2011 to present)",378
"382","Structural Characteristics","Farm Typology","Large farms  (1996 through 2010)",324
"383","Structural Characteristics","Farm Typology","Large farms (2011 to present)",378
"384","Structural Characteristics","Farm Typology","Midsize farms (2011 to present)",378
"385","Structural Characteristics","Farm Typology","Nonfamily farms  (1996 through 2010)",216
"386","Structural Characteristics","Farm Typology","Nonfamily farms (2011 to present)",234
"387","Structural Characteristics","Farm Typology","Off-farm occupation farms (2011 to present)",270
"388","Structural Characteristics","Farm Typology","Residential/lifestyle farms (1996 through 2010)",216
"389","Structural Characteristics","Farm Typology","Retirement farms (1996 through 2010)",216
"390","Structural Characteristics","Farm Typology","Retirement farms (2011 to present)",270
"391","Structural Characteristics","Farm Typology","Very large farms  (1996 through 2010)",324
"392","Structural Characteristics","Farm Typology","Very large farms (2011 to present)",378
"393","Structural Characteristics","NASS Region","Atlantic region",90
"394","Structural Characteristics","NASS Region","Midwest region",90
"395","Structural Characteristics","NASS Region","Plains region",90
"396","Structural Characteristics","NASS Region","South region",90
"397","Structural Characteristics","NASS Region","West region",90
"398","Structural Characteristics","Operator Age","34 years or younger",702
"399","Structural Characteristics","Operator Age","35 to 44 years old",702
"400","Structural Characteristics","Operator Age","45 to 54 years old",702
"401","Structural Characteristics","Operator Age","55 to 64 years old",702
"402","Structural Characteristics","Operator Age","65 years or older",702
"403","Structural Characteristics","Production Specialty","All other livestock",702
"404","Structural Characteristics","Production Specialty","Cattle",702
"405","Structural Characteristics","Production Specialty","Corn",702
"406","Structural Characteristics","Production Specialty","Dairy",702
"407","Structural Characteristics","Production Specialty","General Cash Grains",702
"408","Structural Characteristics","Production Specialty","Hogs",684
"409","Structural Characteristics","Production Specialty","Other Field Crops",702
"410","Structural Characteristics","Production Specialty","Poultry",684
"411","Structural Characteristics","Production Specialty","Soybean",648
"412","Structural Characteristics","Production Specialty","Specialty Crops (F,V,N)",702
